"mass","length","pop"
168.935983481428,48.812573273899,"2"
188.376383532623,63.5510053299367,"2"
250.066323495506,69.1402659914456,"2"
169.342817077455,50.4352942097466,"2"
160.017438295177,47.5491993001197,"2"
290.240663998785,64.1951979708392,"2"
257.709933954077,63.0501892056782,"2"
127.269106865827,53.3188821387012,"2"
128.785502118616,51.573943735566,"2"
166.812372818733,49.6450660971459,"2"
268.855177095034,47.5697396195028,"3"
289.887861835214,69.8931343085133,"3"
252.44798328497,60.292465838138,"3"
271.75117931977,55.7566095131915,"3"
275.87555226721,46.7300482257269,"3"
290.189762200019,57.3966301907785,"3"
271.279275460313,65.4770989832468,"3"
270.303087976388,60.1381756470073,"3"
276.583579091421,65.8585638087243,"3"
297.887741640639,59.7402341652196,"3"
304.865602464303,67.4628377531189,"3"
265.361017416722,50.4572467517573,"3"
265.781825154472,68.2041543407831,"3"
249.9318753145,47.1419436030556,"3"
172.123523224056,51.7643093760125,"3"
237.207230087236,53.7217339430936,"3"
255.761128300527,53.9804183109663,"3"
251.631461559536,49.8255992063787,"3"
225.134309719009,46.5778353030328,"3"
205.370105283031,57.9597572260536,"3"
300.268757210313,66.7862061865162,"3"
228.3662478169,68.6656789726112,"3"
283.612521077642,53.2425231579691,"3"
298.473709057988,67.6616525382269,"3"
257.274974104623,58.7890111014713,"3"
296.377372103748,61.6058400820475,"3"
241.621445178673,65.2046604070347,"3"
272.637950002239,64.8077092994936,"3"
298.012558909417,62.3350330383983,"3"
276.769706570761,51.754990312038,"3"
278.513491874715,61.1160276911687,"3"
261.834949402205,69.0751107572578,"3"
283.570025979659,47.7430434478447,"3"
266.167260501021,65.2176294114906,"3"
247.702070466155,55.889376909472,"3"
297.113396944595,65.1056076854002,"4"
304.615656064989,66.5429557894822,"4"
207.764994619747,55.8444391575176,"4"
264.492945801607,61.0069443227258,"4"
287.832897596533,68.2480550243054,"4"
309.130067536083,66.4264309906866,"4"
159.572658504153,48.408144711284,"4"
268.017181297003,63.3780518418644,"4"
308.271060887529,65.1838812849019,"4"
110.026751263922,50.0705835397821,"4"
180.543272672704,48.0041327350773,"4"
165.034051211089,51.1086912639439,"4"
240.948668311626,62.8935174946673,"4"
206.59516770091,57.0534359011799,"4"
131.2010954358,49.1547914792318,"4"
295.5231891201,63.0983537866268,"4"
272.67793207662,61.6379378293641,"4"
295.111557715563,63.4655330318492,"4"
246.168878055432,58.8339234166779,"4"
255.338564420213,62.1045183960814,"4"
318.768936498051,62.9315787623636,"4"
303.014582802384,67.8783381578978,"4"
282.759295960782,67.4804537079763,"4"
149.785647877802,48.1387372873724,"4"
299.723933442772,63.0557125015184,"4"
154.162192416864,45.1782240869943,"4"
210.24936958768,61.7287162854336,"4"
230.002037594106,49.5844723761547,"4"
241.535537481987,55.8915205637459,"4"
221.906680345551,53.6381145287305,"4"
269.296934873829,60.2011583151761,"4"
345.513812929649,68.9249503938481,"4"
149.711594716734,48.3532318368088,"4"
266.085456671615,53.5156680725049,"4"
255.708970094864,63.0130231310613,"4"
250.163716964214,56.5858753793873,"5"
398.274735162796,67.9450810875278,"5"
209.148161101553,50.6920461414848,"5"
387.997134532168,69.0065943216905,"5"
158.402194353148,50.140629329253,"5"
289.312087424849,61.9914177327882,"5"
12.8858726180227,45.2562833775301,"5"
156.874163104703,53.4055667568464,"5"
257.613386985411,52.4052313691936,"5"
362.273468977678,63.4241893293802,"5"
353.515648122316,66.0177480243146,"5"
399.21312498424,66.9580258068163,"5"
187.550536942026,52.3200440441724,"5"
350.019432683602,66.357220626669,"5"
390.190658567927,68.3608379436191,"5"
200.753801825466,55.1019085966982,"5"
186.275714298772,50.7121785066556,"5"
50.694916282986,45.301500223577,"5"
158.028966776129,51.3061481807381,"5"
364.931921107867,65.9281907998957,"5"
156.978679913625,48.27916740207,"5"
229.996560788746,53.5328968707472,"5"
357.468791639738,68.2306238380261,"5"
169.218812495711,51.2918928393628,"5"
255.376025662424,59.5328545302618,"5"
406.453746442402,67.6599794055801,"5"
103.747871308837,48.6072498187423,"5"
115.896946651925,48.4722252225038,"5"
289.153792007469,57.4902774172369,"5"
212.318244512215,58.2877945434302,"5"
254.694590473326,57.256199028343,"5"
261.836248904914,58.7319658591878,"5"
339.535427544578,67.5978310161736,"5"
300.901881701688,64.0137797733769,"5"
127.062904705736,49.0145477221813,"5"
248.170491960035,61.0830292094033,"6"
193.844018633268,48.6796243744902,"6"
150.613339148502,47.5357389531564,"6"
244.440915720335,66.0856507823337,"6"
221.09426279575,55.2477944572456,"6"
212.649425845782,63.3613550383598,"6"
213.226503079824,67.2998186363839,"6"
233.410893615347,49.5695033681113,"6"
198.820697440661,67.6465016312432,"6"
218.144422697282,68.9231274812482,"6"
220.143856324718,63.5296085546724,"6"
175.926664243119,58.3986912667751,"6"
198.919279184183,68.8375729590189,"6"
192.254300647315,53.380183094414,"6"
235.841218329807,50.7636499870569,"6"
113.133887775225,48.6560893699061,"6"
199.43454425816,67.0426492218394,"6"
209.667051774353,45.8273639308754,"6"
238.043166805213,59.5507467270363,"6"
152.91877598651,46.6820151417051,"6"
240.506691922753,67.7687635400798,"6"
198.2562533962,50.1382537174504,"6"
135.010690399979,45.1147797796875,"6"
223.197179895417,59.6446299564559,"6"
224.38581966992,50.0388624076732,"6"
183.642095514826,63.8759202195797,"6"
160.785528227477,45.9445510106161,"6"
253.980906707234,54.9866375792772,"6"
220.696251902077,49.5091267558746,"6"
240.714903052554,66.2844268826302,"6"
223.088108472477,67.3349074542057,"6"
194.380672673919,59.8418984026648,"6"
222.471813948977,56.6988398774993,"6"
182.887673734958,47.3053777054884,"6"
200.491999850055,60.8808473497629,"6"
